code,list,section,ordinal,supplementary,author,title,year,kind,stars,work_id,pdf,pdf_verdict,state,pages,sections,chunks,embedded,note
I.Supl.27,I. Theory,Supplementary,27,yes,"Segato, Rita Laura",La crítica de la colonialidad en ocho ensayos: y una antropología por demanda,2021,monograph,,segato-la-critica-de-la-colonialidad-2021,,,missing,0,0,0,0,
I.Supl.28,I. Theory,Supplementary,28,yes,"Rifkin, Mark",Beyond Settler Time: Temporal Sovereignty and Indigenous Self-Determination,2017,monograph,,rifkin-beyond-settler-time-temporal-sovereignty-2017,,,missing,0,0,0,0,
I.Supl.29,I. Theory,Supplementary,29,yes,"Cornejo Polar, Antonio",Escribir en el aire: ensayo sobre la heterogeneidad socio-cultural en las literaturas andinas,1994,monograph,,cornejo-polar-escribir-en-el-aire-ensayo-1994,,,missing,0,0,0,0,
I.Supl.30,I. Theory,Supplementary,30,yes,"Jelin, Elizabeth",Los trabajos de la memoria,2002,monograph,,jelin-los-trabajos-de-la-memoria-2002,"Los trabajos de la memoria -- Jelin, Elizabeth -- Bookwire GmbH, Buenos Aires, Argentina, 2021 -- Fondo de Cultura Económica Argentina -- isbn13 9789877192537 -- 70a3e9a075182ac0830b2ecac53031dd -- Anna’s Archive.pdf",check by hand,mapped,0,0,0,0,
I.Supl.31,I. Theory,Supplementary,31,yes,"Fong, Timothy P",Ethnic Studies Research: Approaches and Perspectives,2008,monograph,,fong-ethnic-studies-research-approaches-and-2008,,,missing,0,0,0,0,
I.Supl.32,I. Theory,Supplementary,32,yes,"Sanjek, Roger, editor",Fieldnotes: The Makings of Anthropology,1990,edited_volume,,sanjek-fieldnotes-the-makings-of-anthropology-1990,"Fieldnotes _ the Makings of Anthropology -- Sanjek, Roger (editor) -- 2019 dec 31 -- Cornell University Press -- isbn13 9781501711954 -- 0f8cdea2869abd51f2da0e9e89b781ea -- Anna’s Archive.pdf",probably citable,mapped,0,0,0,0,
II.A.1,II. Dissertation,"Colonial Narratives, Inquisitorial Archives, and Territorial Formation",1,,"Cabeza de Vaca, Álvar Núñez",Naufragios,1989,monograph,,cabeza-de-vaca-naufragios-1989,"Naufragios de Alvar Núñez Cabeza de Vaca -- Álvar Núñez Cabeza de Vaca -- Middlesex, 2007 -- The Echo Library -- isbn13 9781406847048 -- c983bc018ab3208d7f3544ead4427f16 -- Anna’s Archive.pdf",citable,mapped,0,0,0,0,
II.A.2,II. Dissertation,"Colonial Narratives, Inquisitorial Archives, and Territorial Formation",2,,"Villagrá, Gaspar Pérez de",Historia de la Nueva México,2010,monograph,,villagra-historia-de-la-nueva-mexico-2010,"Historia de la Nueva México -- Villagrá, Gaspar de -- elibro_net, Alcalá de Henares, 2011 -- Editorial Universidad de Alcalá -- isbn13 9788481388824 -- d51909a3110f65fd03ee1d91fce6cd8c -- Anna’s Archive.pdf",citable,mapped,0,0,0,0,
II.A.3,II. Dissertation,"Colonial Narratives, Inquisitorial Archives, and Territorial Formation",3,,"Flores, Enrique, Mariana Masera, coordinadores","Relatos populares de la Inquisición novohispana: rito, magia y otras ""supersticiones"", siglos XVII–XVIII",2010,edited_volume,,flores-relatos-populares-de-la-inquisicion-2010,Flores - Inquisición.pdf,check by hand,mapped,0,0,0,0,
II.A.4,II. Dissertation,"Colonial Narratives, Inquisitorial Archives, and Territorial Formation",4,,"Ebright, Malcolm, Rick Hendricks","The Witches of Abiquiu: The Governor, the Priest, the Genízaro Indians, and the Devil",2006,monograph,,ebright-the-witches-of-abiquiu-the-2006,,,missing,0,0,0,0,
