filename,verdict,pages,offset,agreement,folios,producer,against,for
"Espectros y conjuras- Asedios a la cuestión colonial -- Carlos A_ Jáuregui -- Parecos y australes_ Ensayos de Cultura de la Colonia; 25, -- Vervuert -- 9783964568182 -- a8875767c5758e8601e5925013373a26 -- Anna’s Archive.pdf",probably citable,381,0,1.0,352,"macOS Versión 12.7.6 (Fase 21H1320) Quartz PDFContext, Appen",printed page numbers equal the file pages — no front matter,copyright page present | running heads
"Estructura Del Texto Artistico (Coleccion Fundamentos, 58) -- Yuri Mikhailovich Lotman -- Colección Fundamentos -- 58, 2a_ ed, Madrid, Spain, 1982 -- isbn13 9788470900389 -- 4480b03d66ff355f311ea74b62df49a6 -- Anna.pdf",citable,358,6,0.5,232,ABBYY FineReader 11,,"consistent print pagination, offset +6 (116 of 232 bare folios) | copyright page present | running heads"
"Extinct Lands, Temporal Geographies_ Chicana Literature and -- Mary Pat Brady -- Latin America otherwise, Durham, North Carolina, 2002 -- Duke -- isbn13 9780822329749 -- 5fb2b67f4160ee741157942ad763c367 -- Anna’s Archive.pdf",citable,289,-15,0.98,266,Acrobat Distiller 6.0.1 (Windows) DVIPSONE 2.2.3  http://www,,"typeset: Acrobat Distiller 6.0.1 (Windows) DVIPSO | consistent print pagination, offset -15 (260 of 266 bare folios) | copyright page present | running heads"
"Fieldnotes _ the Makings of Anthropology -- Sanjek, Roger (editor) -- 2019 dec 31 -- Cornell University Press -- isbn13 9781501711954 -- 0f8cdea2869abd51f2da0e9e89b781ea -- Anna’s Archive.pdf",probably citable,439,,,244,iTextSharp 5.1.3 (c) 1T3XT BVBA,page numbers found but inconsistent: 76 of 244 agree on -14,copyright page present | running heads
Flores - Inquisición.pdf,check by hand,297,,,34,Adobe PDF Library 8.0 Adobe InDesign CS3 (5.0.4),"page numbers found but inconsistent: 2 of 34 agree on -121 | typeset and paginated, but no folios could be read",typeset: Adobe PDF Library 8.0 Adobe InDesign CS3 | copyright page present | running heads
"From the Other Side of Night_Del otro lado de la noche_ New -- ALARCON, FRANCISCO X_,  xzo -- Camino Del Sol_ a Latina and Latino Literary Series, -- isbn13 9780816521807 -- 78c40e3ae51e5a937592dccb5eeeb517 -- Anna’s Archive.pdf",citable,248,-20,0.94,64,Recoded by LuraDocument PDF v2.68 Internet Archive,,"consistent print pagination, offset -20 (60 of 64 bare folios) | copyright page present | running heads"
Función y campo de la palabra_Escritos Lacan 1.pdf,needs OCR,81,,,,Haru Free PDF Library 2.4.0dev Genius Scan,no text layer; OCR before judging citability,
Future Folk Horror_ Contemporary Anxieties and Possible -- Simon Bacon; Dawn Keetley; Vicky Brewster; M_ Keith Booker; -- Lexington books horror -- isbn13 9781666921236 -- dd3da6ec8b6cae2962e0fc65c4f31fd3 -- Anna’s Archive.pdf,citable,347,-17,0.99,315,Adobe PDF Library 17.0 Adobe InDesign 18.4 (Windows),,"typeset: Adobe PDF Library 17.0 Adobe InDesign 18 | consistent print pagination, offset -17 (311 of 315 bare folios) | copyright page present | running heads"
"Ghost-Watching American Modernity _ Haunting, Landscape, and -- Blanco, María del Pilar -- 2012 mar 01 -- Fordham University Press -- isbn13 9780823242146 -- 61c9fd33308f8a3be9d19491aa3af3eb -- Anna’s Archive.pdf",citable,237,-12,0.98,219,iTextSharp 5.1.3 (c) 1T3XT BVBA,no running heads,"consistent print pagination, offset -12 (214 of 219 edge folios) | copyright page present"
"Ghostly Matters _ Haunting and the Sociological Imagination -- Avery F_ Gordon, with a new introduction; foreword by Janice -- 2nd University of -- isbn13 9780816620838 -- 3a7624efe659c878213766da39aa82d7 -- Anna’s Archive.pdf",citable,276,-23,0.99,238,Acrobat 5.0 Paper Capture Plug-in for Windows,,"typeset: Acrobat 5.0 Paper Capture Plug-in for Wi | consistent print pagination, offset -23 (235 of 238 bare folios) | copyright page present | running heads"
