id,author,title,year,isbn,list_id,list,section,section_letter,group,examinable,other_titles,entry
griego-y-maestas-cuentos-tales-from-the-hispanic-1980,"Griego y Maestas, José, y Rudolfo A",Cuentos: Tales from the Hispanic Southwest,1980,,dissertation,II. Dissertation,"B. Oral Tradition, Regional Language, and Folklore Collection",B,core,yes,,"Griego y Maestas, José, y Rudolfo A. Anaya, editores. Cuentos: Tales from the Hispanic Southwest. Museum of New Mexico Press, 1980."
pijoan-de-van-etten-spanish-american-folktales-the-practical-1990,"Pijoan de Van Etten, Teresa",Spanish-American Folktales: The Practical Wisdom of Spanish-Americans in 28 Eloquent and Simple Stories,1990,,dissertation,II. Dissertation,"B. Oral Tradition, Regional Language, and Folklore Collection",B,core,yes,,"Pijoan de Van Etten, Teresa. Spanish-American Folktales: The Practical Wisdom of Spanish-Americans in 28 Eloquent and Simple Stories. August House, 1990."
rael-cuentos-espanoles-de-colorado-y-1977,"Rael, Juan B",Cuentos españoles de Colorado y Nuevo México / Spanish Folk Tales from Colorado and New Mexico,1977,,dissertation,II. Dissertation,"B. Oral Tradition, Regional Language, and Folklore Collection",B,core,yes,,"Rael, Juan B., recopilador. Cuentos españoles de Colorado y Nuevo México / Spanish Folk Tales from Colorado and New Mexico. Museum of New Mexico Press, 1977. 2 vols."
rebolledo-women-s-tales-from-the-2000,"Rebolledo, Tey Diana, y María Teresa Márquez, editoras",Women's Tales from the New Mexico WPA: La diabla a pie,2000,,dissertation,II. Dissertation,"B. Oral Tradition, Regional Language, and Folklore Collection",B,core,yes,,"Rebolledo, Tey Diana, y María Teresa Márquez, editoras. Women's Tales from the New Mexico WPA: La diabla a pie. Arte Público Press, 2000."
vigil-the-corn-woman-stories-and-1994,"Vigil, Ángel, recopilador",The Corn Woman: Stories and Legends of the Hispanic Southwest,1994,,dissertation,II. Dissertation,"B. Oral Tradition, Regional Language, and Folklore Collection",B,core,yes,,"Vigil, Ángel, recopilador. The Corn Woman: Stories and Legends of the Hispanic Southwest. Traducción de Jennifer Audrey Lowell, Libraries Unlimited, 1994."
delgado-witch-stories-of-new-mexico-1994,"Delgado, Edmundo R",Witch Stories of New Mexico: Folklore of New Spain / Cuentos de brujas de Nuevo México: folklore de la Nueva España,1994,,dissertation,II. Dissertation,"C. Witchcraft, Healing, and Supernatural Encounters",C,core,yes,,"Delgado, Edmundo R., editor. Witch Stories of New Mexico: Folklore of New Spain / Cuentos de brujas de Nuevo México: folklore de la Nueva España. E. R. Delgado, 1994."
garcia-brujas-bultos-y-brasas-tales-1999,"García, Nasario, recopilador","Brujas, bultos, y brasas: Tales of Witchcraft and the Supernatural in the Pecos Valley",1999,,dissertation,II. Dissertation,"C. Witchcraft, Healing, and Supernatural Encounters",C,core,yes,,"García, Nasario, recopilador. Brujas, bultos, y brasas: Tales of Witchcraft and the Supernatural in the Pecos Valley. Western Edge Press, 1999."
garcia-brujerias-stories-of-witchcraft-and-2007,"García, Nasario",Brujerías: Stories of Witchcraft and the Supernatural in the American Southwest and Beyond,2007,,dissertation,II. Dissertation,"C. Witchcraft, Healing, and Supernatural Encounters",C,core,yes,,"García, Nasario. Brujerías: Stories of Witchcraft and the Supernatural in the American Southwest and Beyond. Texas Tech University Press, 2007."
kraul-the-weeping-woman-encounters-with-1988,"Kraul, Edward Garcia, y Judith Beatty",The Weeping Woman: Encounters with La Llorona,1988,,dissertation,II. Dissertation,"C. Witchcraft, Healing, and Supernatural Encounters",C,core,yes,,"Kraul, Edward Garcia, y Judith Beatty. The Weeping Woman: Encounters with La Llorona. Word Process, 1988."
garcez-american-indian-ghost-stories-of-2003,"Garcez, Antonio R",American Indian Ghost Stories of the West,2003,,dissertation,II. Dissertation,D. Literary Reworkings and Comparative Indigenous Horror,D,core,yes,,"Garcez, Antonio R. American Indian Ghost Stories of the West. Red Rabbit Press, 2003."
sagel-hablando-de-brujas-y-la-1981,"Sagel, Jim",Hablando de brujas y la gente de antes: poemas del Río Chama,1981,,dissertation,II. Dissertation,D. Literary Reworkings and Comparative Indigenous Horror,D,core,yes,,"Sagel, Jim. Hablando de brujas y la gente de antes: poemas del Río Chama. Introducción de John Nichols, Place of Herons Press, 1981."
abudu-living-with-ghosts-a-reader-2022,"Abudu, KJ, editor",Living with Ghosts: A Reader,2022,,dissertation,II. Dissertation,"E. Hauntology, Spectrality, and Historical Temporality",E,core,yes,,"Abudu, KJ, editor. Living with Ghosts: A Reader. Pace Publishing, 2022."
derrida-specters-of-marx-the-state-1994,"Derrida, Jacques","Specters of Marx: The State of the Debt, the Work of Mourning, and the New International",1994,,dissertation,II. Dissertation,"E. Hauntology, Spectrality, and Historical Temporality",E,core,yes,,"Derrida, Jacques. Specters of Marx: The State of the Debt, the Work of Mourning, and the New International. Traducción de Peggy Kamuf, Routledge, 1994."
weinstock-spectral-america-phantoms-and-the-2004,"Weinstock, Jeffrey Andrew, editor",Spectral America: Phantoms and the National Imagination,2004,,dissertation,II. Dissertation,"E. Hauntology, Spectrality, and Historical Temporality",E,core,yes,,"Weinstock, Jeffrey Andrew, editor. Spectral America: Phantoms and the National Imagination. University of Wisconsin Press, 2004."
keetley-folk-horror-new-global-pathways-2023,"Keetley, Dawn, y Ruth Heholt, editoras",Folk Horror: New Global Pathways,2023,,dissertation,II. Dissertation,"F. Haunting as Aesthetic and Narrative Experience: The Fantastic, the Gothic, and Magical Realism",F,core,yes,,"Keetley, Dawn, y Ruth Heholt, editoras. Folk Horror: New Global Pathways. University of Wales Press, 2023."
todorov-the-fantastic-a-structural-approach-1975,"Todorov, Tzvetan",The Fantastic: A Structural Approach to a Literary Genre,1975,,dissertation,II. Dissertation,"F. Haunting as Aesthetic and Narrative Experience: The Fantastic, the Gothic, and Magical Realism",F,core,yes,,"Todorov, Tzvetan. The Fantastic: A Structural Approach to a Literary Genre. Traducción de Richard Howard, Cornell University Press, 1975."
walter-magical-realism-in-contemporary-chicano-1993,"Walter, Roland",Magical Realism in Contemporary Chicano Fiction,1993,,dissertation,II. Dissertation,"F. Haunting as Aesthetic and Narrative Experience: The Fantastic, the Gothic, and Magical Realism",F,core,yes,,"Walter, Roland. Magical Realism in Contemporary Chicano Fiction. Vervuert, 1993."
blanco-ghost-watching-american-modernity-haunti-2012,"Blanco, María del Pilar","Ghost-Watching American Modernity: Haunting, Landscape, and the Hemispheric Imagination",2012,,dissertation,II. Dissertation,"G. Chicana Spatial Criticism, Borderlands, and Hemispheric Haunting",G,core,yes,,"Blanco, María del Pilar. Ghost-Watching American Modernity: Haunting, Landscape, and the Hemispheric Imagination. Fordham University Press, 2012."
brady-extinct-lands-temporal-geographies-chica-2002,"Brady, Mary Pat","Extinct Lands, Temporal Geographies: Chicana Literature and the Urgency of Space",2002,,dissertation,II. Dissertation,"G. Chicana Spatial Criticism, Borderlands, and Hemispheric Haunting",G,core,yes,,"Brady, Mary Pat. Extinct Lands, Temporal Geographies: Chicana Literature and the Urgency of Space. Duke University Press, 2002."
perez-there-was-a-woman-la-2008,"Perez, Domino Renee",There Was a Woman: La Llorona from Folklore to Popular Culture,2008,,dissertation,II. Dissertation,"G. Chicana Spatial Criticism, Borderlands, and Hemispheric Haunting",G,core,yes,,"Perez, Domino Renee. There Was a Woman: La Llorona from Folklore to Popular Culture. University of Texas Press, 2008."
bolanos-colonialism-past-and-present-reading-2002,"Bolaños, Álvaro Félix, Gustavo Verdesio, editores",Colonialism Past and Present: Reading and Writing about Colonial Latin America Today,2002,,dissertation,II. Dissertation,"H. Archival Criticism, Documents, and Media",H,core,yes,,"Bolaños, Álvaro Félix, Gustavo Verdesio, editores. Colonialism Past and Present: Reading and Writing about Colonial Latin America Today. State University of New York Press, 2002."
morana-coloniality-at-large-latin-america-2008,"Moraña, Mabel, Enrique Dussel y Carlos A",Coloniality at Large: Latin America and the Postcolonial Debate,2008,,dissertation,II. Dissertation,"H. Archival Criticism, Documents, and Media",H,core,yes,,"Moraña, Mabel, Enrique Dussel y Carlos A. Jáuregui, editores. Coloniality at Large: Latin America and the Postcolonial Debate. Duke University Press, 2008."
gonzales-nacion-genizara-ethnogenesis-place-and-2019,"Gonzales, Moises, y Enrique R","Nación Genízara: Ethnogenesis, Place, and Identity in New Mexico",2019,,dissertation,II. Dissertation,J. Nuevomexicano Cultural History and Genízaro Identity,J,core,yes,,"Gonzales, Moises, y Enrique R. Lamadrid, editores. Nación Genízara: Ethnogenesis, Place, and Identity in New Mexico. University of New Mexico Press, 2019."
padilla-my-history-not-yours-the-1993,"Padilla, Genaro M","My History, Not Yours: The Formation of Mexican American Autobiography",1993,,dissertation,II. Dissertation,Supplementary,,supplementary,yes,,"Padilla, Genaro M. My History, Not Yours: The Formation of Mexican American Autobiography. University of Wisconsin Press, 1993."
briggs-competence-in-performance-the-creativity-1988,"Briggs, Charles L",Competence in Performance: The Creativity of Tradition in Mexicano Verbal Art,1988,,dissertation,II. Dissertation,Supplementary,,supplementary,yes,,"Briggs, Charles L. Competence in Performance: The Creativity of Tradition in Mexicano Verbal Art. University of Pennsylvania Press, 1988."
rama-la-ciudad-letrada-1984,"Rama, Ángel",La ciudad letrada,1984,,dissertation,II. Dissertation,Supplementary,,supplementary,yes,,"Rama, Ángel. La ciudad letrada. Ediciones del Norte, 1984."
cobos-a-dictionary-of-new-mexico-2003,"Cobos, Rubén",A Dictionary of New Mexico and Southern Colorado Spanish,2003,,dissertation,II. Dissertation,Supplementary,,supplementary,yes,,"Cobos, Rubén. A Dictionary of New Mexico and Southern Colorado Spanish. 2.ª ed., Museum of New Mexico Press, 2003."
gitelman-paper-knowledge-toward-a-media-2014,"Gitelman, Lisa",Paper Knowledge: Toward a Media History of Documents,2014,,dissertation,II. Dissertation,Supplementary,,supplementary,yes,,"Gitelman, Lisa. Paper Knowledge: Toward a Media History of Documents. Duke University Press, 2014."
burns-into-the-archive-writing-and-2010,"Burns, Kathryn",Into the Archive: Writing and Power in Colonial Peru,2010,,dissertation,II. Dissertation,Supplementary,,supplementary,yes,,"Burns, Kathryn. Into the Archive: Writing and Power in Colonial Peru. Duke University Press, 2010."
brady-scales-of-captivity-racial-capitalism-2022,"Brady, Mary Pat",Scales of Captivity: Racial Capitalism and the Latinx Child,2022,,dissertation,II. Dissertation,Supplementary,,supplementary,yes,,"Brady, Mary Pat. Scales of Captivity: Racial Capitalism and the Latinx Child. Duke University Press, 2022."
hawk-never-whistle-at-night-an-2023,"Hawk, Shane, y Theodore C",Never Whistle at Night: An Indigenous Dark Fiction Anthology,2023,,dissertation,II. Dissertation,Supplementary,,supplementary,yes,,"Hawk, Shane, y Theodore C. Van Alst Jr., editores. Never Whistle at Night: An Indigenous Dark Fiction Anthology. Vintage Books, 2023."
melendez-so-all-is-not-lost-1997,"Meléndez, A","So All Is Not Lost: The Poetics of Print in Nuevomexicano Communities, 1834–1958",1997,,dissertation,II. Dissertation,Supplementary,,supplementary,yes,,"Meléndez, A. Gabriel. So All Is Not Lost: The Poetics of Print in Nuevomexicano Communities, 1834–1958. University of New Mexico Press, 1997."
rabasa-without-history-subaltern-studies-the-2010,"Rabasa, José","Without History: Subaltern Studies, the Zapatista Insurgency, and the Limits of Historical Discourse",2010,,dissertation,II. Dissertation,Supplementary,,supplementary,yes,,"Rabasa, José. Without History: Subaltern Studies, the Zapatista Insurgency, and the Limits of Historical Discourse. University of Pittsburgh Press, 2010."
ortega-binding-media-hybrid-print-digital-2025,"Ortega, Élika",Binding Media: Hybrid Print-Digital Literature from across the Americas,2025,,dissertation,II. Dissertation,Supplementary,,supplementary,yes,,"Ortega, Élika. Binding Media: Hybrid Print-Digital Literature from across the Americas. Stanford University Press, 2025."
boj-lopez-indigenous-archives-the-maya-diaspora-2026,"Boj López, Floridalma",Indigenous Archives: The Maya Diaspora and Mobile Cultural Production,2026,,dissertation,II. Dissertation,Supplementary,,supplementary,yes,,"Boj López, Floridalma. Indigenous Archives: The Maya Diaspora and Mobile Cultural Production. Duke University Press, 2026."
fisher-the-weird-and-the-eerie-2017,"Fisher, Mark",The Weird and the Eerie,2017,,dissertation,II. Dissertation,Supplementary,,supplementary,yes,,"Fisher, Mark. The Weird and the Eerie. Repeater Books, 2017."
schaeffer-unsettled-borders-the-militarized-scienc-2022,"Schaeffer, Felicity Amaya",Unsettled Borders: The Militarized Science of Surveillance on Sacred Indigenous Land,2022,,dissertation,II. Dissertation,Supplementary,,supplementary,yes,,"Schaeffer, Felicity Amaya. Unsettled Borders: The Militarized Science of Surveillance on Sacred Indigenous Land. Duke University Press, 2022."
fisher-ghosts-of-my-life-writings-2014,"Fisher, Mark","Ghosts of My Life: Writings on Depression, Hauntology and Lost Futures",2014,,dissertation,II. Dissertation,Supplementary,,supplementary,yes,,"Fisher, Mark. Ghosts of My Life: Writings on Depression, Hauntology and Lost Futures. Zero Books, 2014."
spooner-contemporary-gothic-2006,"Spooner, Catherine",Contemporary Gothic,2006,,dissertation,II. Dissertation,Supplementary,,supplementary,yes,,"Spooner, Catherine. Contemporary Gothic. Reaktion Books, 2006."
campra-territorios-de-la-ficcion-lo-2008,"Campra, Rosalba",Territorios de la ficción: lo fantástico,2008,,dissertation,II. Dissertation,Supplementary,,supplementary,yes,,"Campra, Rosalba. Territorios de la ficción: lo fantástico. Renacimiento, 2008."
keetley-folk-gothic-2024,"Keetley, Dawn",Folk Gothic,2024,,dissertation,II. Dissertation,Supplementary,,supplementary,yes,,"Keetley, Dawn. Folk Gothic. Cambridge University Press, 2024."
padilla-the-daring-flight-of-my-2010,"Padilla, Genaro",The Daring Flight of My Pen: Cultural Politics and Gaspar Pérez de Villagrá's,2010,,dissertation,II. Dissertation,Supplementary,,supplementary,yes,1610,"Padilla, Genaro. The Daring Flight of My Pen: Cultural Politics and Gaspar Pérez de Villagrá's Historia de la Nueva México, 1610. University of New Mexico Press, 2010."
scovell-folk-horror-hours-dreadful-and-2017,"Scovell, Adam",Folk Horror: Hours Dreadful and Things Strange,2017,,dissertation,II. Dissertation,Supplementary,,supplementary,yes,,"Scovell, Adam. Folk Horror: Hours Dreadful and Things Strange. Auteur, 2017."
mendez-catalogo-de-textos-marginados-novohispan-1992,"Méndez, María Águeda, coordinadora","Catálogo de textos marginados novohispanos: Inquisición, siglos XVIII y XIX",1992,,dissertation,II. Dissertation,Supplementary,,supplementary,yes,,"Méndez, María Águeda, coordinadora. Catálogo de textos marginados novohispanos: Inquisición, siglos XVIII y XIX. Archivo General de la Nación / El Colegio de México / Universidad Nacional Autónoma de México, 1992."
mignolo-teoria-del-texto-e-interpretacion-1986,"Mignolo, Walter",Teoría del texto e interpretación de textos,1986,,dissertation,II. Dissertation,Supplementary,,supplementary,yes,,"Mignolo, Walter. Teoría del texto e interpretación de textos. Universidad Nacional Autónoma de México, 1986."
rodriguez-singing-for-my-echo-memories-1987,"Rodríguez, Gregorita","Singing for My Echo: Memories of Gregorita Rodríguez, a Native Healer of Santa Fe",1987,,dissertation,II. Dissertation,Supplementary,,supplementary,yes,,"Rodríguez, Gregorita. Singing for My Echo: Memories of Gregorita Rodríguez, a Native Healer of Santa Fe. Relato recogido por Edith Powers, Cota Editions / Ocean Tree, 1987."
fernandez-de-lizardi-el-periquillo-sarniento-1816,"Fernández de Lizardi, José Joaquín",El Periquillo Sarniento,1816,,teaching,III. Teaching,"A. Nation, Race, and Revolution in Mexican Literature",A,core,yes,,"Fernández de Lizardi, José Joaquín. El Periquillo Sarniento. 1816."
payno-los-bandidos-de-rio-frio-1891,"Payno, Manuel",Los bandidos de Río Frío,1891,,teaching,III. Teaching,"A. Nation, Race, and Revolution in Mexican Literature",A,core,yes,,"Payno, Manuel. Los bandidos de Río Frío. 1889–1891."
