id,author,title,year,isbn,list_id,list,section,section_letter,group,examinable,other_titles,entry,file,how,note,ext,file_isbn,citable
flores-relatos-populares-de-la-inquisicion-2010,"Flores, Enrique, Mariana Masera, coordinadores","Relatos populares de la Inquisición novohispana: rito, magia y otras ""supersticiones"", siglos XVII–XVIII",2010,,dissertation,II. Dissertation,"A. Colonial Narratives, Inquisitorial Archives, and Territorial Formation",A,core,yes,,"Flores, Enrique, Mariana Masera, coordinadores. Relatos populares de la Inquisición novohispana: rito, magia y otras ""supersticiones"", siglos XVII–XVIII. Consejo Superior de Investigaciones Científicas / Universidad Nacional Autónoma de México, 2010.","Relatos populares de la Inquisición novohispana _ rito, -- Claudia Carranza; Enrique Flores; Mariana Masera; Consejo -- first, 2010 -- Editorial CSIC -- isbn13 9786070218620 -- 2c5af51dada4a952a967cc57a059cb1a -- Anna’s Archive.pdf",override,list entry abbreviates the title,.pdf,9786070218620,yes
ebright-the-witches-of-abiquiu-the-2006,"Ebright, Malcolm, Rick Hendricks","The Witches of Abiquiu: The Governor, the Priest, the Genízaro Indians, and the Devil",2006,,dissertation,II. Dissertation,"A. Colonial Narratives, Inquisitorial Archives, and Territorial Formation",A,core,yes,,"Ebright, Malcolm, Rick Hendricks. The Witches of Abiquiu: The Governor, the Priest, the Genízaro Indians, and the Devil. University of New Mexico Press, 2006.",,,,,,
espinosa-the-folklore-of-spain-in-1985,"Espinosa, Aurelio M",The Folklore of Spain in the American Southwest: Traditional Spanish Folk Literature in Northern New Mexico and Southern Colorado,1985,,dissertation,II. Dissertation,"B. Oral Tradition, Regional Language, and Folklore Collection",B,core,yes,,"Espinosa, Aurelio M. The Folklore of Spain in the American Southwest: Traditional Spanish Folk Literature in Northern New Mexico and Southern Colorado. Edición de J. Manuel Espinosa, University of Oklahoma Press, 1985.","The Folklore of Spain in the American Southwest _ -- Espinosa, Aurelio Macedonio; Espinosa, J_ Manuel -- University of Oklahoma Press, Norman, Okla, -- 9780585145983 -- 78eadff7a5189a6490924bba3fea9dd8 -- Anna’s Archive.pdf",matched (110),,.pdf,9780585145983,yes
espinosa-cuentos-de-cuanto-hay-tales-1998,"Espinosa, J",Cuentos de cuanto hay / Tales from Spanish New Mexico,1998,,dissertation,II. Dissertation,"B. Oral Tradition, Regional Language, and Folklore Collection",B,core,yes,,"Espinosa, J. Manuel, recopilador. Cuentos de cuanto hay / Tales from Spanish New Mexico. Edición y traducción de Joe Hayes, ilustraciones de William Rotsaert, University of New Mexico Press, 1998.","Cuentos de Cuanto Hay_ Tales from Spanish New Mexico -- Espinosa, J_ Manuel (José Manuel), 1909-; Hayes, Joe -- 1st ed_, Albuquerque, New Mexico, -- isbn13 9780826319272 -- add192ec82b20f34df646cb9fbecf241 -- Anna’s Archive.pdf",override,,.pdf,9780826319272,yes
griego-y-maestas-cuentos-tales-from-the-hispanic-1980,"Griego y Maestas, José, y Rudolfo A",Cuentos: Tales from the Hispanic Southwest,1980,,dissertation,II. Dissertation,"B. Oral Tradition, Regional Language, and Folklore Collection",B,core,yes,,"Griego y Maestas, José, y Rudolfo A. Anaya, editores. Cuentos: Tales from the Hispanic Southwest. Museum of New Mexico Press, 1980.","Cuentos_ Tales from the Hispanic Southwest_ Based on Stories -- selected by and adapted in Spanish by José Griego y Maestas; -- Santa Fe, N_M, ©1980, -- 9780890131107 -- 73a969f2aaeb372fbafdf4c9fbe476bf -- Anna’s Archive.pdf",matched (110),,.pdf,9780890131107,yes
pijoan-de-van-etten-spanish-american-folktales-the-practical-1990,"Pijoan de Van Etten, Teresa",Spanish-American Folktales: The Practical Wisdom of Spanish-Americans in 28 Eloquent and Simple Stories,1990,,dissertation,II. Dissertation,"B. Oral Tradition, Regional Language, and Folklore Collection",B,core,yes,,"Pijoan de Van Etten, Teresa. Spanish-American Folktales: The Practical Wisdom of Spanish-Americans in 28 Eloquent and Simple Stories. August House, 1990.","Spanish-American folktales _  the  practical wisdom of -- Pijoan, Teresa, 1951- -- 1st ed_, Little Rock, Arkansas, 1990 -- Little Rock _ August House -- isbn13 9780874831559 -- 84404b6bd31153658315495f67a0d170 -- Anna’s Archive.pdf",matched (110),,.pdf,9780874831559,yes
rael-cuentos-espanoles-de-colorado-y-1977,"Rael, Juan B",Cuentos españoles de Colorado y Nuevo México / Spanish Folk Tales from Colorado and New Mexico,1977,,dissertation,II. Dissertation,"B. Oral Tradition, Regional Language, and Folklore Collection",B,core,yes,,"Rael, Juan B., recopilador. Cuentos españoles de Colorado y Nuevo México / Spanish Folk Tales from Colorado and New Mexico. Museum of New Mexico Press, 1977. 2 vols.","Cuentos Españoles De Colorado Y Nuevo México =_ Spanish Folk -- Rael, Juan Bautista_ -- 2d ed_, rev_, Santa Fe, New Mexico, 1977 -- Santa Fe_ Museum -- 9780890130933 -- 4352bea88e457328370a1b7fa8adc57c -- Anna’s Archive.pdf",matched (110),,.pdf,9780890130933,yes
rebolledo-women-s-tales-from-the-2000,"Rebolledo, Tey Diana, y María Teresa Márquez, editoras",Women's Tales from the New Mexico WPA: La diabla a pie,2000,,dissertation,II. Dissertation,"B. Oral Tradition, Regional Language, and Folklore Collection",B,core,yes,,"Rebolledo, Tey Diana, y María Teresa Márquez, editoras. Women's Tales from the New Mexico WPA: La diabla a pie. Arte Público Press, 2000.",Women's Tales from the New Mexico WPA_ La Diabla a Pie -- Tey Diana Rebolledo; María Teresa Márquez -- Recovering the U_S Hispanic Literary Heritage -- isbn13 9781558853126 -- c2ac911d43f7090048c2f275f895f009 -- Anna’s Archive.pdf,matched (85),,.pdf,9781558853126,yes
vigil-the-corn-woman-stories-and-1994,"Vigil, Ángel, recopilador",The Corn Woman: Stories and Legends of the Hispanic Southwest,1994,,dissertation,II. Dissertation,"B. Oral Tradition, Regional Language, and Folklore Collection",B,core,yes,,"Vigil, Ángel, recopilador. The Corn Woman: Stories and Legends of the Hispanic Southwest. Traducción de Jennifer Audrey Lowell, Libraries Unlimited, 1994.","The corn woman _ stories and legends of the Hispanic -- retold by Angel Vigil; translated by Jennifer Audrey Lowell -- Bloomsbury USA, Englewood, -- 9780313069895 -- c92fca77f069c30392a6383e68e1bf56 -- Anna’s Archi.pdf",matched (85),,.pdf,9780313069895,yes
delgado-witch-stories-of-new-mexico-1994,"Delgado, Edmundo R",Witch Stories of New Mexico: Folklore of New Spain / Cuentos de brujas de Nuevo México: folklore de la Nueva España,1994,,dissertation,II. Dissertation,"C. Witchcraft, Healing, and Supernatural Encounters",C,core,yes,,"Delgado, Edmundo R., editor. Witch Stories of New Mexico: Folklore of New Spain / Cuentos de brujas de Nuevo México: folklore de la Nueva España. E. R. Delgado, 1994.",,,,,,
